Store #,# of McDonalds <1 mi,# of Subway <1 mi,# of Wendys <1 mi,# of Burger King <1 mi,# of Taco Bell <1 mi,# of McDonalds <0.5 mi,# of Subway <0.5 mi,# of Wendys <0.5 mi,# of Burger King <0.5 mi,# of Taco Bell <0.5 mi
7330,1,1,1,1,1,1,1,1,1,1
6140,1,3,1,0,1,1,1,1,0,1
856,1,2,0,1,0,1,0,0,0,0
8030,1,1,0,0,0,0,0,0,0,0
6747,1,0,1,1,0,1,0,0,0,0
786,1,1,0,1,1,1,0,0,1,1
588,1,1,0,1,1,1,1,0,0,0
6299,1,1,1,0,0,1,1,1,0,0
6855,1,1,1,1,1,1,1,1,1,1
1299,1,5,1,0,0,0,2,0,0,0
5126,1,1,1,1,0,0,1,0,1,0
7294,0,1,0,0,0,0,0,0,0,0
1717,1,1,1,1,0,1,1,1,0,0
838,1,1,1,1,1,1,0,1,1,1
7237,2,3,1,0,1,2,0,1,0,0
7091,1,1,1,1,0,1,0,1,1,0
8220,1,2,0,1,0,1,1,0,1,0
7882,1,0,1,1,1,1,0,0,0,0
7828,2,1,0,0,1,1,1,0,0,1
6537,1,1,0,0,1,1,1,0,0,1
5127,1,2,1,1,0,1,1,1,1,0
1199,1,2,1,1,1,1,2,1,1,1
7464,1,1,1,1,0,1,0,0,0,0
778,1,1,1,0,1,1,1,1,0,1
8000,1,3,0,0,0,1,2,0,0,0
7131,1,2,1,0,0,1,0,0,0,0
6709,1,1,1,1,0,1,0,0,1,0
1033,1,2,0,0,0,1,2,0,0,0
7171,2,0,0,1,0,1,0,0,1,0
1010,1,1,0,1,1,1,1,0,0,1
7202,0,0,1,0,0,0,0,1,0,0
7853,2,1,0,0,0,2,1,0,0,0
1806,1,2,1,1,0,0,2,1,1,0
7926,1,0,1,0,0,1,0,1,0,0
7805,0,1,0,0,0,0,1,0,0,0
6726,1,2,1,1,1,1,2,1,0,1
6679,1,1,0,1,0,1,1,0,1,0
7850,1,1,0,0,1,1,0,0,0,1
5537,2,2,1,1,0,2,1,1,1,0
7449,1,1,1,0,1,1,0,1,0,1
5590,2,1,1,1,1,1,1,0,1,1
6719,1,2,1,1,1,1,2,1,1,1
1937,1,1,1,1,0,1,1,1,1,0
6650,1,1,1,0,1,0,1,1,0,1
825,1,3,0,0,0,1,1,0,0,0
5743,1,2,0,0,1,0,1,0,0,1
325,1,2,1,0,1,1,1,1,0,1
5925,0,1,0,1,1,0,1,0,1,1
2,1,2,1,0,1,1,1,1,0,1
7878,1,1,0,0,1,1,1,0,0,1
5691,1,2,1,0,1,1,2,1,0,0
701,1,2,1,1,1,1,0,1,1,0
6480,2,1,1,1,1,2,1,1,1,1
6659,1,1,0,0,0,1,0,0,0,0
7842,1,2,0,1,0,1,2,0,1,0
6968,0,1,0,1,0,0,1,0,1,0
1961,2,2,1,0,1,1,1,1,0,1
6638,1,1,1,0,0,1,0,1,0,0
6988,1,1,0,0,1,0,1,0,0,0
6357,1,3,1,1,1,1,1,0,1,0
5245,1,2,1,1,1,1,2,1,1,1
1092,1,3,1,1,1,0,0,1,1,1
83,1,0,0,1,1,1,0,0,0,0
6925,0,1,0,1,0,0,0,0,1,0
1132,2,3,0,1,0,0,2,0,0,0
7442,0,2,0,1,0,0,2,0,0,0
7596,2,1,1,1,0,1,1,1,1,0
5392,1,2,1,1,1,1,1,1,1,1
5712,1,1,0,0,1,1,1,0,0,1
127,1,1,1,1,0,1,1,1,1,0
6939,1,3,1,1,0,0,1,0,0,0
5710,1,1,0,0,0,0,0,0,0,0
7392,1,1,0,0,1,0,0,0,0,0
6047,0,1,0,0,1,0,0,0,0,1
1810,1,0,1,0,0,1,0,1,0,0
1748,1,1,0,0,1,1,1,0,0,1
6863,1,2,1,1,0,1,1,1,1,0
743,1,1,0,0,1,1,1,0,0,1
6342,1,1,1,1,0,1,1,1,1,0
7030,1,2,1,1,0,0,1,0,0,0
7005,1,0,0,1,0,1,0,0,1,0
5852,1,2,1,1,1,1,0,1,1,1
7207,0,1,1,1,1,0,1,1,1,1
5001,1,2,1,1,1,1,1,1,1,1
12,2,1,1,2,2,1,1,0,1,1
5895,0,1,0,0,0,0,1,0,0,0
5941,1,1,1,1,0,1,1,1,1,0
7448,0,1,1,0,0,0,1,0,0,0
7838,0,2,0,0,1,0,0,0,0,1
8319,1,1,0,0,0,1,1,0,0,0
7830,0,1,0,0,0,0,1,0,0,0
7821,1,0,1,0,1,1,0,1,0,1
5312,1,2,1,1,1,1,2,0,1,1
7249,1,0,0,0,0,1,0,0,0,0
6242,1,1,1,0,0,1,1,1,0,0
7253,0,1,1,1,0,0,1,1,1,0
1544,1,1,1,1,0,1,0,1,1,0
7415,1,1,0,1,0,1,1,0,1,0
7388,1,3,0,1,0,1,2,0,0,0
7390,1,2,1,0,0,1,2,1,0,0
6629,0,2,1,0,0,0,1,1,0,0
